atleta_id,ult5_sos,playmaking,risco_rotacao,goalShare,ds_jogo,epts_scouts
68822,6.345,,0.0,,0.0,4.118
79631,3.587,,0.2,0.0278,0.0,3.449
81720,2.207,,0.0,0.0,0.769,3.299
94034,3.81,,0.0,0.0,0.6,3.717
97868,2.58,,0.2,,0.8,4.121
97911,-0.19,,0.333,0.0,0.0,3.535
103347,2.512,,0.0,,0.556,3.796
149990,5.982,,0.4,,0.0,
92182,3.753,,0.4,,0.6,3.497
94514,3.539,,0.0,,1.111,3.329
131964,,,1.0,,,
141609,0.724,,0.5,0.0,0.5,3.624
147089,1.34,,0.6,0.0,0.5,3.754
149994,2.892,,0.0,0.0,1.0,3.952
133679,3.013,,0.0,,0.0,3.445
140484,1.347,,0.0,0.0,0.5,3.484
149715,2.439,,0.0,,2.0,4.523
79066,-1.256,,0.0,,0.0,3.596
80061,2.33,0.2,0.2,0.0,1.4,3.072
102906,5.207,,0.0,,0.0,3.943
110698,2.761,,0.0,,0.0,3.743
113690,6.669,,0.0,,0.0,4.078
130889,-2.49,0.0,0.0,0.0,0.0,2.822
137618,-1.29,,0.0,,0.0,3.312
145563,2.048,,0.0,,1.5,3.543
83048,-0.235,,0.333,,1.0,3.37
110633,2.953,0.0,0.5,0.0,0.5,3.056
117404,2.46,,0.0,,0.0,3.376
124219,0.512,,0.25,,0.667,3.155
124358,,,1.0,,,
133673,1.946,,0.0,0.0,1.0,3.887
150825,9.118,,0.5,,1.0,3.555
85465,1.427,0.0,0.0,0.0,0.0,3.016
99818,4.769,,0.2,0.0465,0.2,3.821
122439,0.72,,0.333,0.0,0.5,3.644
140496,,,1.0,0.0,,
150180,1.83,0.2,0.0,0.0,0.8,2.747
63354,7.282,,0.0,,0.667,3.434
141337,3.173,,0.25,,1.0,4.312
141400,3.339,0.0,0.0,0.0303,1.5,3.388
142086,2.519,,0.0,0.0,1.0,3.904
142257,-0.403,,0.0,,0.0,3.183
145660,2.332,,0.5,,2.0,4.568
146701,-0.242,0.0,0.0,0.0,0.0,2.936
147192,6.532,,0.0,,2.167,5.017
147560,1.938,,0.0,0.0,1.0,3.99
148092,0.313,,0.0,,1.0,4.422
149991,,,1.0,0.0,,
107236,-0.764,,0.0,,0.0,4.123
143463,-0.32,,0.0,0.0,0.0,3.687
148124,0.33,,0.0,,0.5,3.265
150197,3.422,,0.0,,1.2,3.275
150757,0.77,0.0,0.5,0.0,1.0,3.091
150959,1.5,,0.667,,1.0,4.464
82407,0.949,0.0,0.25,0.0,0.333,2.691
106907,6.161,,0.2,,0.0,
115537,14.452,,0.667,,2.0,3.641
116067,0.4,,0.0,,0.0,3.974
123717,2.561,,0.0,,1.2,4.421
130279,0.891,0.0,0.0,0.0,0.0,3.136
133690,1.165,,0.0,0.0,0.0,3.75
140492,4.559,,0.0,,1.0,3.55
141606,,,1.0,0.0,,
143295,-0.197,0.0,0.0,0.0,0.0,2.936
147544,,,1.0,,,
68872,4.944,,0.0,,0.0,4.165
88136,9.292,,0.0,,0.0,4.269
101352,1.13,0.0,0.0,0.0,0.8,2.715
103626,2.29,,0.333,0.0,0.5,3.796
106199,4.97,,0.0,0.0,1.0,4.106
108946,3.573,,0.25,0.0,1.0,3.873
122321,4.246,0.0,0.0,0.0238,1.667,3.532
128177,4.12,,0.2,,0.0,
129663,0.828,,0.5,0.0,0.0,3.751
141339,7.236,,0.0,0.069,1.0,4.14
141991,0.833,,0.0,0.0,0.0,3.789
145379,1.463,,0.2,0.0,0.5,3.846
146624,1.296,,0.5,0.0,1.0,3.88
151412,1.981,,0.0,0.0,1.0,3.909
97101,3.492,,0.0,,1.75,4.624
97905,3.4,,0.0,,0.0,3.726
98617,3.119,,0.0,,0.667,3.285
102310,2.106,,0.0,,1.0,3.432
103967,1.584,,0.0,0.0,0.2,3.386
105901,-0.265,0.0,0.0,0.0,0.0,2.936
106950,5.243,,0.0,,1.75,4.737
