date,season,home_team,away_team,home_goals,away_goals,avg_odds_home,avg_odds_draw,avg_odds_away
2012-08-25,2012,Palmeiras,Santos,1,2,2.46,3.26,2.7
2012-08-26,2012,Ponte Preta,Portuguesa,2,1,2.4,3.17,2.87
2012-08-26,2012,Botafogo,Flamengo,0,0,2.29,3.21,3.02
2012-08-26,2012,Corinthians,Sao Paulo,1,2,2.21,3.26,3.11
2012-08-26,2012,Figueirense,Coritiba,3,1,2.71,3.24,2.48
2012-08-26,2012,Internacional,Gremio,0,1,2.21,3.21,3.15
2012-08-26,2012,Bahia,Atletico-GO,1,1,2.05,3.27,3.51
2012-08-26,2012,Cruzeiro,Atletico-MG,2,2,3.2,3.23,2.18
2012-08-26,2012,Sport,Nautico,0,0,2.47,3.22,2.72
2012-08-29,2012,Santos,Bahia,1,3,1.34,4.6,8.84
2012-08-29,2012,Coritiba,Internacional,1,0,2.55,3.16,2.69
2012-08-30,2012,Atletico-MG,Ponte Preta,2,2,1.38,4.39,7.86
2012-08-30,2012,Nautico,Figueirense,3,2,1.74,3.49,4.55
2012-08-30,2012,Portuguesa,Palmeiras,3,0,2.75,3.1,2.53
2012-08-30,2012,Atletico-GO,Cruzeiro,0,2,2.25,3.29,3.01
2012-08-30,2012,Fluminense,Corinthians,1,1,2.07,3.23,3.48
2012-08-30,2012,Gremio,Vasco,2,0,1.8,3.4,4.33
2012-08-31,2012,Flamengo,Sport,1,1,1.5,3.91,6.34
2012-08-31,2012,Sao Paulo,Botafogo,4,0,1.68,3.71,4.64
2012-09-01,2012,Palmeiras,Gremio,0,0,2.46,3.16,2.8
2012-09-01,2012,Figueirense,Fluminense,2,2,3.05,3.18,2.29
2012-09-02,2012,Ponte Preta,Atletico-GO,3,1,2.0,3.29,3.59
2012-09-02,2012,Vasco,Portuguesa,2,0,1.64,3.61,5.18
2012-09-02,2012,Bahia,Sao Paulo,1,0,2.85,3.17,2.4
