name,team,apps,xG,xg90,goal,shots
Léo Derik,Athletico Paranaense,10,0.05,0.009,0,3
Caíque Gonçalves,Vitoria,17,0.02,0.002,0,2
Tetê,Gremio,16,2.05,0.231,2,26
Ênio,Chapecoense AF,12,0.63,0.075,1,16
Rodrigo Villagra,Internacional,15,0.22,0.016,0,9
Gabriel Menino,Santos FC,10,0.47,0.089,1,13
Felipe Anderson,Palmeiras,14,0.36,0.081,2,11
Maycon,Atletico MG,12,1.87,0.173,2,9
Cristian Medina,Botafogo RJ,14,2.6,0.207,1,18
Matheuzinho,Vitoria,18,2.57,0.205,2,24
Zé Welison,Remo,17,0.26,0.022,0,11
Alan Franco,Sao Paulo,13,0.5,0.042,0,4
Rodrigo Castillo,Fluminense,12,2.31,0.413,3,16
Matheus Bahia,Internacional,12,0.31,0.035,0,6
Carlos Cuesta,Vasco da Gama,10,0.32,0.032,0,4
Johan Rojas,Vasco da Gama,18,2.14,0.228,0,34
Higor Meritão,Chapecoense AF,11,1.88,0.274,1,11
Lyanco,Atletico MG,9,0.2,0.029,0,5
Isidro Pitta,Red Bull Bragantino,18,6.44,0.496,5,38
Christian Oliva,Santos FC,14,0.25,0.026,0,7
Kauã Moraes,Cruzeiro,10,1.08,0.214,2,5
Patrick,Remo,17,1.08,0.086,0,13
Enzo Díaz,Sao Paulo,13,0.22,0.021,0,11
Guilherme Arana,Fluminense,14,0.92,0.1,1,14
Emmanuel Martínez,Vitoria,16,0.93,0.067,0,6
Marllon,Remo,19,0.53,0.028,1,5
Guga,Fluminense,13,0.06,0.007,0,3
Everton,Flamengo,10,0.79,0.188,1,12
Willian José,Bahia,19,5.95,0.503,3,21
Jorge Carrascal,Flamengo,13,2.41,0.352,2,19
Alan Saldivia,Vasco da Gama,10,0.78,0.078,0,9
José Herrera,Red Bull Bragantino,16,0.92,0.096,1,22
Edson Carioca,Mirassol,13,1.46,0.213,2,13
Erick Pulga,Bahia,20,1.43,0.09,0,22
Alan Franco,Atletico MG,15,0.87,0.06,0,5
Rodriguinho,Red Bull Bragantino,11,1.12,0.204,2,12
Wendell,Sao Paulo,14,0.19,0.018,0,6
Marcos Antônio,Sao Paulo,14,1.27,0.107,0,13
Jája Silva,Remo,16,3.48,0.296,5,28
Khellven,Palmeiras,14,0.11,0.013,0,4
Tomás Pérez,Atletico MG,12,0.36,0.041,0,4
Doma,Chapecoense AF,18,0.92,0.053,1,12
Leonel Picco,Remo,17,1.12,0.131,1,9
Diego Tarzia,Vitoria,15,1.67,0.321,2,18
Francis Amuzu,Gremio,18,1.51,0.116,1,30
Gabriel,Red Bull Bragantino,16,0.51,0.038,2,18
Arthur,Gremio,10,0.09,0.01,0,3
David,Vasco da Gama,17,2.35,0.262,2,15
Jádson,Athletico Paranaense,14,0.06,0.006,0,2
Benjamín Rollheiser,Santos FC,16,2.58,0.403,3,16
Willian Arão,Santos FC,15,0.07,0.008,0,1
