rodada,name,team,apps,mins,xG,xg90,goal,shots
26,Bruno Melo,Coritiba,24,1907,0.904,0.0427,1,11.0
26,Kevin Serna,Fluminense,25,1307,4.314,0.2971,3,28.0
26,Fágner,Cruzeiro,18,1237,0.262,0.019,0,9.0
26,Denilson,Mirassol,18,1125,0.331,0.0265,1,8.0
26,Félix Torres,Internacional,19,1380,2.66,0.1735,1,14.0
26,Alef Manga,Remo,26,1702,5.157,0.2727,5,46.0
26,José Aldo,Mirassol,17,1208,0.493,0.0368,0,14.0
26,Breno Bidon,Corinthians,23,1608,1.784,0.0998,2,18.0
26,Christian Oliva,Santos FC,18,1135,1.496,0.1186,2,10.0
26,Ferreira,Sao Paulo,20,698,2.404,0.31,4,27.0
26,Gabriel Menino,Santos FC,11,553,0.505,0.0821,1,15.0
26,Danielzinho,Sao Paulo,22,1628,0.956,0.0528,1,9.0
26,Carlos Vinícius,Gremio,24,1855,7.592,0.3683,10,43.0
26,Juan Pablo Freytes,Fluminense,19,1540,0.804,0.047,0,14.0
26,Tiago Cóser,Coritiba,22,1540,1.289,0.0753,3,7.0
26,Natanael,Atletico MG,16,1324,0.329,0.0224,0,9.0
26,Damián Bobadilla,Sao Paulo,16,1161,1.311,0.1016,0,15.0
26,Marcos Antônio,Sao Paulo,19,1473,2.138,0.1306,0,21.0
26,Victor Gabriel,Internacional,16,1189,0.264,0.02,0,5.0
26,Guga,Fluminense,16,1112,0.15,0.0122,0,5.0
26,Matheuzinho,Vitoria,24,1471,3.706,0.2267,3,32.0
26,Gabriel Bontempo,Santos FC,22,1456,1.548,0.0957,0,12.0
26,Gabriel Justino,Botafogo RJ,13,857,0.275,0.0289,1,4.0
26,Caíque Gonçalves,Vitoria,21,1622,0.041,0.0023,0,3.0
26,Luan Peres,Santos FC,20,1583,0.649,0.0369,1,5.0
26,Alex Sandro,Flamengo,16,1245,0.073,0.0053,0,2.0
26,Gustavinho,Red Bull Bragantino,17,657,0.84,0.1151,1,9.0
26,Samuel Xavier,Fluminense,15,1193,0.217,0.0163,0,6.0
26,Everaldo,Bahia,17,635,2.542,0.3602,4,19.0
26,Matheus Bahia,Internacional,17,1145,0.314,0.0247,0,6.0
26,João Pedro Chermont,Coritiba,16,1000,0.282,0.0254,0,9.0
26,Rodrigo Castillo,Fluminense,13,588,2.633,0.4031,3,19.0
26,Marcelinho,Remo,22,1740,1.575,0.0815,2,24.0
26,Léo Derik,Athletico Paranaense,11,550,0.05,0.0082,0,3.0
26,Rodrigo Villagra,Internacional,19,1504,0.223,0.0133,0,9.0
26,Maycon,Atletico MG,14,1065,1.887,0.1595,2,10.0
26,João Schmidt,Santos FC,14,858,0.478,0.0501,0,7.0
26,Rodriguinho,Red Bull Bragantino,15,833,1.619,0.175,2,23.0
26,Emiliano Martínez,Palmeiras,13,469,0.065,0.0124,0,4.0
26,Lucas Piton,Vasco da Gama,17,1086,0.826,0.0685,0,10.0
26,Benjamín Rollheiser,Santos FC,21,776,2.755,0.3196,3,20.0
26,Felipe Anderson,Palmeiras,19,590,0.443,0.0675,2,14.0
26,Arthur,Palmeiras,17,1039,0.298,0.0258,0,9.0
26,Alan Franco,Sao Paulo,13,1077,0.501,0.0419,0,4.0
26,Tetê,Gremio,20,992,2.315,0.2101,2,31.0
26,Johan Rojas,Vasco da Gama,18,846,2.143,0.228,0,34.0
26,Higor Meritão,Chapecoense AF,11,618,1.885,0.2744,1,11.0
26,Sebastián Gómez,Coritiba,22,1761,0.585,0.0299,0,15.0
26,Tomás Pérez,Atletico MG,14,926,0.356,0.0346,0,4.0
26,Enzo Díaz,Sao Paulo,13,929,0.217,0.0211,0,11.0
26,Mayk,Remo,14,1247,0.047,0.0034,0,3.0
26,Leonel Pérez,Gremio,12,717,0.392,0.0492,0,7.0
26,Jádson,Athletico Paranaense,20,1351,0.501,0.0334,0,4.0
26,Gabriel Taliari,Remo,14,988,4.023,0.3664,4,25.0
26,Patrick,Remo,22,1337,1.189,0.08,0,16.0
26,Alan Saldivia,Vasco da Gama,11,945,0.782,0.0745,0,9.0
26,Zé Welison,Remo,21,1373,0.32,0.0209,0,14.0
26,Braian Aguirre,Internacional,17,734,1.096,0.1344,2,20.0
26,Carlos Terán,Athletico Paranaense,15,990,0.747,0.0679,0,7.0
26,Jája Silva,Remo,21,1327,4.759,0.3228,7,36.0
26,Ênio,Chapecoense AF,14,784,0.684,0.0785,1,18.0
26,Guilherme Arana,Fluminense,15,827,0.918,0.0999,1,14.0
26,Wendell,Sao Paulo,17,1179,0.192,0.0146,0,6.0
26,Hércules,Fluminense,22,1278,1.966,0.1385,3,30.0
26,Doma,Chapecoense AF,23,2004,1.113,0.05,1,14.0
26,Marcinho,Chapecoense AF,24,1405,2.51,0.1608,5,29.0
26,José Herrera,Red Bull Bragantino,20,1139,1.389,0.1098,1,28.0
26,Gabriel Brazão,Santos FC,23,2070,0.04,0.0017,0,1.0
26,Everton,Flamengo,12,388,0.789,0.183,1,12.0
26,Marllon,Remo,24,2159,0.712,0.0297,1,9.0
26,Marçal,Botafogo RJ,11,419,0.203,0.0435,0,5.0
26,Zé Ricardo,Remo,24,1527,0.877,0.0517,1,20.0
26,Leonel Picco,Remo,23,1130,1.654,0.1317,2,12.0
26,Santiago Rodríguez,Botafogo RJ,15,575,0.574,0.0899,2,3.0
26,Yeferson Soteldo,Fluminense,19,986,0.95,0.0867,0,14.0
26,Willian José,Bahia,22,1140,5.954,0.4701,3,21.0
26,Pedro Gabriel,Gremio,14,929,0.135,0.0131,0,6.0
26,Julimar,Athletico Paranaense,13,730,2.412,0.2973,3,15.0
26,Isidro Pitta,Red Bull Bragantino,22,1517,7.567,0.4489,5,47.0
26,Diego Tarzia,Vitoria,21,822,2.002,0.2193,2,26.0
26,Gabriel,Red Bull Bragantino,17,1274,0.534,0.0377,2,19.0
26,Nuno Moreira,Vasco da Gama,19,941,2.02,0.1932,1,22.0
26,Edson Carioca,Mirassol,16,739,1.995,0.243,2,16.0
26,Jean Carlos,Chapecoense AF,17,652,1.483,0.2047,2,18.0
26,Bruno Henrique,Flamengo,19,599,1.51,0.2268,1,15.0
26,Emmanuel Martínez,Vitoria,21,1548,1.01,0.0587,0,9.0
26,Rafael Borré,Internacional,17,1038,5.738,0.4975,2,28.0
26,Francis Amuzu,Gremio,22,1447,1.722,0.1071,1,33.0
26,Alan Franco,Atletico MG,19,1556,0.87,0.0503,0,5.0
26,Ademir,Bahia,24,947,2.037,0.1936,1,27.0
26,Bruno Leonardo,Chapecoense AF,15,1311,0.132,0.0091,0,2.0
26,André,Corinthians,17,999,0.944,0.0851,3,15.0
26,Khellven,Palmeiras,18,839,0.212,0.0228,0,6.0
26,João Vitor,Chapecoense AF,11,598,0.812,0.1222,0,19.0
26,Lucas Villalba,Cruzeiro,15,972,0.255,0.0236,0,6.0
26,Memphis Depay,Corinthians,11,666,1.529,0.2067,1,13.0
26,Joaquín Lavega,Coritiba,24,1327,2.656,0.1801,5,25.0
26,Matheus Fernandes,Red Bull Bragantino,14,762,0.422,0.0499,0,13.0
26,Cauly,Sao Paulo,14,662,1.32,0.1795,1,11.0
26,Cristian Medina,Botafogo RJ,19,1390,2.945,0.1907,1,23.0
26,Bruno Henrique,Internacional,23,1351,2.57,0.1712,1,24.0
26,Thiago Santos,Coritiba,18,942,0.379,0.0362,0,6.0
26,Vinicinho,Red Bull Bragantino,14,565,0.813,0.1295,0,9.0
26,Pablo Maia,Sao Paulo,17,958,0.445,0.0418,1,18.0
