atleta_id,name,pos,team,price,media,status,desvio,ult5
126013,Ythallo,ZAG,BOT,3.5,0.2,Nulo,0.0,0.2
69140,Allan,MEI,BOT,4.48,2.03,Contundido,1.6,2.1399999999999997
111831,Matheus Martins,ATA,BOT,7.01,4.46,Nulo,5.74,3.38
105214,Santi Rodríguez,MEI,BOT,5.68,2.13,Nulo,1.65,2.7600000000000002
104693,Newton,MEI,SAO,4.18,1.94,Nulo,1.89,2.9200000000000004
39850,Vagner Mancini,TEC,RBB,8.34,5.45,Provável,2.64,6.284
70360,Eduardo Sasha,ATA,RBB,4.09,1.02,Provável,1.11,1.2
95799,Artur,ATA,SAO,8.98,5.52,Dúvida,3.7,5.0
142890,Montoro,MEI,BOT,7.29,2.89,Provável,2.07,2.3
87225,Pedro Henrique,ZAG,RBB,6.73,3.4,Provável,1.85,3.1799999999999997
93882,Cleiton,GOL,RBB,6.19,2.56,Nulo,2.75,4.119999999999999
94968,Juninho Capixaba,LAT,RBB,13.21,7.31,Provável,4.69,7.5600000000000005
146375,Kadir,ATA,BOT,4.15,2.12,Nulo,1.88,3.0799999999999996
103295,Eric Ramires,MEI,RBB,2.59,0.58,Nulo,0.89,1.2200000000000002
142877,Villalba,ATA,BOT,4.33,1.61,Nulo,4.65,5.833333333333333
142484,Barrera,MEI,BOT,4.93,2.46,Contundido,3.65,4.0200000000000005
100695,Fernando,ATA,RBB,5.37,4.89,Nulo,5.31,7.640000000000001
106434,Eduardo Santos,ZAG,RBB,4.6,1.4,Nulo,0.0,4.2
78605,Gabriel,MEI,RBB,5.17,3.17,Nulo,3.01,3.8599999999999994
110715,Andrés Hurtado,LAT,RBB,5.43,3.51,Provável,2.81,5.58
111246,Alix Vinicius,ZAG,RBB,5.15,3.0,Provável,2.81,4.779999999999999
94067,Matheus Fernandes,MEI,RBB,4.42,2.45,Provável,1.68,3.4
108133,Isidro Pitta,ATA,RBB,5.4,3.84,Nulo,5.75,5.24
112886,Lucas Barbosa,ATA,RBB,9.53,6.28,Provável,4.65,7.359999999999999
105213,Sant'Anna,LAT,RBB,8.88,6.23,Nulo,4.66,4.32
100848,Luan Cândido,LAT,VIT,5.15,3.41,Provável,3.79,4.279999999999999
107236,Vanderlan,LAT,RBB,4.41,-0.3,Contundido,0.0,-0.3
110750,Gustavo Marques,ZAG,RBB,7.36,4.31,Nulo,2.54,4.4799999999999995
111760,Fabinho,MEI,RBB,2.04,-0.08,Nulo,0.0,3.9
117910,Breno Bidon,MEI,COR,8.58,3.64,Provável,4.07,6.04
113157,Nathan Mendes,LAT,VIT,7.52,5.02,Contundido,4.08,6.859999999999999
122394,Gustavinho,MEI,RBB,5.55,2.59,Nulo,3.63,2.9
72605,Vitor Hugo,ZAG,CAM,6.2,3.3,Nulo,5.01,5.0
132580,Vinicinho,ATA,RBB,4.32,2.28,Nulo,2.02,3.3599999999999994
132274,Ignacio Sosa,MEI,RBB,3.41,1.5,Nulo,2.13,2.8600000000000003
92087,Lyanco,ZAG,CAM,7.8,3.04,Provável,4.72,4.680000000000001
140906,Davi Gomes,ATA,RBB,5.19,4.25,Contundido,2.76,4.25
39656,Alan Franco,MEI,CAM,4.88,2.34,Provável,2.42,2.8000000000000003
100842,Ruan,ZAG,CAM,5.44,3.18,Provável,3.24,3.9799999999999995
68920,Dudu,ATA,CAM,6.16,2.57,Nulo,4.18,3.3200000000000003
107554,Natanael,LAT,CAM,8.48,4.85,Provável,5.17,5.359999999999999
87999,Gustavo Scarpa,MEI,CAM,7.06,3.09,Contundido,3.16,4.08
98909,Cuello,ATA,CAM,8.78,5.71,Provável,4.42,4.8
40990,Dorival Júnior,TEC,SAO,9.21,4.06,Provável,1.86,3.304
91607,R. Rústico,ATA,SAN,5.15,2.12,Nulo,1.55,2.6
78248,Gustavo Henrique,ZAG,COR,8.59,3.77,Provável,2.73,3.96
100084,Igor Gomes,MEI,CAM,4.58,1.5,Nulo,6.22,5.1
72460,Bernard,MEI,CAM,5.6,3.28,Provável,3.24,6.16
105068,Reinier,MEI,CAM,5.39,2.97,Nulo,4.17,2.34
101002,Júnior Santos,ATA,BOT,4.55,2.24,Contundido,3.3,3.2199999999999998
103767,Gabriel Menino,MEI,SAN,9.92,5.45,Provável,4.97,3.12
71684,Gustavo Gómez,ZAG,PAL,10.56,4.71,Nulo,4.03,4.08
118774,Alexsander,MEI,CAM,4.85,0.84,Nulo,0.52,1.4000000000000001
77485,Carrillo,MEI,COR,4.04,1.39,Nulo,1.55,3.1799999999999997
101574,Hugo Souza,GOL,COR,9.67,4.26,Provável,4.42,3.6800000000000006
96342,Charles,MEI,COR,3.53,1.03,Nulo,0.28,1.7
105531,Matheus Bidu,LAT,COR,12.92,7.81,Provável,5.63,6.720000000000001
85048,Memphis Depay,ATA,COR,9.56,1.99,Nulo,4.06,3.6000000000000005
78435,Vitinho,ATA,COR,5.06,2.13,Contundido,1.22,2.36
92440,André Ramalho,ZAG,COR,5.73,2.55,Nulo,1.82,2.88
95556,Raniele,MEI,COR,7.8,4.23,Provável,2.98,4.859999999999999
97642,Félix Torres,ZAG,INT,5.55,3.69,Nulo,2.69,4.92
98225,Pedro Raul,ATA,COR,4.43,1.18,Provável,0.42,0.39999999999999997
102340,Cacá,ZAG,VIT,4.84,2.55,Provável,3.96,4.819999999999999
98720,Angileri,LAT,COR,6.1,3.99,Nulo,3.17,5.040000000000001
124239,Henry Mosquera,ATA,RBB,5.62,3.63,Provável,2.56,4.239999999999999
42500,Fagner,LAT,CRU,6.93,3.55,Provável,3.96,4.6
98022,Erick,MEI,BAH,6.04,3.71,Nulo,4.66,4.9799999999999995
121824,Kayke,ATA,COR,3.64,1.65,Contundido,1.37,2.475
133543,Gui Negão,ATA,COR,3.97,1.35,Nulo,0.0,2.7
96610,Matheus Pereira,MEI,CRU,13.8,6.76,Provável,4.8,10.86
125488,João Pedro,ZAG,COR,8.84,7.7,Nulo,1.7,7.7
141995,Dieguinho,MEI,COR,3.24,1.42,Nulo,3.38,2.8400000000000003
89275,William,LAT,CRU,9.17,3.66,Nulo,3.48,5.74
145744,André,MEI,COR,6.15,4.07,Contundido,4.58,7.459999999999999
124912,Jonathan Jesus,ZAG,CRU,6.2,4.15,Provável,2.64,5.0
79701,Lucas Silva,MEI,CRU,3.86,0.41,Nulo,0.71,1.08
105047,João Marcelo,ZAG,CRU,5.42,2.81,Nulo,2.76,4.95
84558,Lucas Romero,MEI,CRU,8.45,4.5,Nulo,3.66,5.040000000000001
88479,Walace,MEI,VIT,3.37,0.67,Nulo,0.0,0.8
93478,Wanderson,ATA,CRU,4.91,1.61,Nulo,3.1,2.46
100742,Matheus Henrique,MEI,CRU,4.54,1.88,Provável,1.75,3.8
122660,Japa,MEI,MIR,6.53,5.32,Provável,2.21,5.32
132264,Arroyo,ATA,CRU,5.09,3.0,Provável,3.66,5.04
137542,Kaique Kenji,ATA,CRU,2.39,1.2,Suspenso,3.58,2.725
111690,Matheus Cunha,GOL,INT,5.02,3.55,Provável,3.3,5.58
104085,Bruno Fuchs,ZAG,PAL,8.5,4.21,Contundido,2.59,5.6
69783,Danilo,ZAG,FLA,5.3,1.4,Nulo,2.0,2.1
131967,Villarreal,ATA,CRU,8.62,5.65,Contundido,4.4,8.379999999999999
117404,Otávio,GOL,CRU,2.43,2.07,Provável,2.63,3.6799999999999997
114405,Sinisterra,ATA,CRU,5.85,3.27,Contundido,3.25,4.839999999999999
84816,Varela,LAT,FLA,8.95,4.82,Provável,2.32,5.619999999999999
83528,Léo Pereira,ZAG,FLA,10.59,4.74,Provável,4.1,3.8200000000000003
84735,Jorginho,MEI,FLA,9.3,4.22,Provável,3.89,4.340000000000001
87863,Arrascaeta,MEI,FLA,14.59,5.2,Provável,4.41,5.34
143600,Kauã Moraes,LAT,CRU,6.81,4.83,Nulo,3.99,4.819999999999999
96870,Emerson Royal,LAT,FLA,7.39,5.48,Nulo,3.62,7.8
97867,Léo Ortiz,ZAG,FLA,9.41,4.28,Provável,3.57,4.459999999999999
98873,Samuel Lino,ATA,FLA,11.7,7.58,Provável,6.45,13.180000000000001
86757,Everton,ATA,FLA,5.67,1.42,Nulo,1.16,0.96
88393,Ayrton Lucas,LAT,FLA,8.64,4.74,Provável,3.75,6.8
80061,Saúl,MEI,FLA,6.28,2.43,Nulo,2.76,3.725
82627,Luiz Araújo,ATA,FLA,7.88,2.99,Contundido,5.99,2.7
109096,Plata,ATA,FLA,9.94,6.25,Provável,4.68,6.6
90285,Bruno Henrique,ATA,FLA,6.45,2.84,Nulo,2.39,4.46
91473,Erick Pulgar,MEI,FLA,7.17,2.77,Provável,3.73,4.04
96652,Allan,MEI,COR,3.26,1.04,Provável,1.87,2.88
99228,De la Cruz,MEI,FLA,4.41,0.82,Nulo,1.1,1.46
73384,Samuel Xavier,LAT,FLU,7.48,3.75,Nulo,3.28,4.68
