rodada,name,team,apps,mins,xG,xg90,goal,shots
21,Arthur,Palmeiras,14,814,0.283,0.0313,0,8.0
21,Arthur,Gremio,10,810,0.091,0.0101,0,3.0
21,Arthur Cabral,Botafogo RJ,17,1380,4.356,0.2841,7,36.0
21,Arthur Dias,Athletico Paranaense,19,1630,0.193,0.0107,0,5.0
21,Artur,Sao Paulo,12,1038,2.095,0.1817,2,24.0
21,Ayrton Lucas,Flamengo,10,491,0.339,0.0622,0,6.0
21,Benjamín Rollheiser,Santos FC,16,575,2.575,0.4031,3,16.0
21,Bernard,Atletico MG,17,900,1.468,0.1468,1,9.0
21,Braian Aguirre,Internacional,13,482,0.815,0.1522,1,12.0
21,Brenner,Vasco da Gama,14,584,3.674,0.5662,1,17.0
21,Breno Bidon,Corinthians,19,1311,1.538,0.1056,2,14.0
21,Breno Lopes,Coritiba,18,1221,5.172,0.3812,8,19.0
21,Bruninho,Athletico Paranaense,9,310,0.634,0.184,0,9.0
21,Bruno Gomes,Internacional,21,1707,0.597,0.0315,0,15.0
21,Bruno Henrique,Flamengo,15,522,1.175,0.2025,0,12.0
21,Bruno Henrique,Internacional,18,1027,1.423,0.1247,0,19.0
21,Bruno Leonardo,Chapecoense AF,15,1311,0.132,0.0091,0,2.0
21,Bruno Melo,Coritiba,19,1501,0.836,0.0501,1,9.0
21,Bruno Pacheco,Chapecoense AF,12,911,0.097,0.0096,0,3.0
